tea,jill_says_,coffee_tag,type,id,lat,lon,amenity,name,,cuisine_ta,cuisine1,cuisine2,cuisine3,cuisine4,cuisine5,cuisine6,cuisine7
,,1,node,5364794325,40.6945228,-73.9027851,cafe,1080 Brew,,sandwiches;cafe;soup;coffee_shop;brunch,sandwiches,cafe,soup,coffee_shop,brunch,,
,,1,node,4515550805,40.7180559,-73.997117,cafe,12 Corners,,coffee_shop,coffee_shop,,,,,,
,,1,node,6231514602,40.7138584,-73.990386,cafe,12 Corners,,coffee_shop,coffee_shop,,,,,,
,,1,node,7520613849,40.744428,-73.9793868,cafe,3B Cafe,,coffee_shop;sandwich,coffee_shop,sandwich,,,,,
,,1,node,6983344494,40.6685842,-73.9899118,cafe,483 Treehouse Cafe,,coffee_shop;middle_eastern,coffee_shop,middle_eastern,,,,,
,,1,node,3199078271,40.7129493,-73.9555025,cafe,66 Hope Cafe,,coffee_shop,coffee_shop,,,,,,
,,1,node,2183010462,40.7035248,-74.0108884,cafe,787 Cafe,,coffee_shop,coffee_shop,,,,,,
,,1,node,6558563123,40.7263237,-73.9838601,cafe,787 Coffee Co.,,coffee,coffee,,,,,,
,,1,node,6231491557,40.7119876,-73.9945141,cafe,A2Z Dominican,,donut;coffee,donut,coffee,,,,,
,,1,node,6534166842,40.6903087,-73.9916493,cafe,About Coffee,,coffee_shop,coffee_shop,,,,,,
,,1,node,4551161735,40.7273019,-73.9861875,cafe,Abraço,,coffee_shop,coffee_shop,,,,,,
,,1,node,6121661568,40.6881861,-73.9876169,cafe,Absolute Coffee,,coffee_shop;bagel,coffee_shop,bagel,,,,,
,,1,node,6558563124,40.7340646,-74.0004927,cafe,ad hoc collective coffee + shoppe,,coffee;sandwiches;breakfast,coffee,sandwiches,breakfast,,,,
,,1,node,2839887895,40.7260331,-73.9391293,cafe,Alkemy Brewlab,,coffee_shop;pastry;tea,coffee_shop,pastry,tea,,,,
,,1,node,6003410969,40.6748895,-73.9889741,cafe,Allegro Coffee Roasters,,coffee_shop,coffee_shop,,,,,,
,,1,node,6719106993,40.7033645,-73.9912069,cafe,Almondine Bakery,,coffee_shop;pastry;sandwich,coffee_shop,pastry,sandwich,,,,
,,1,node,5364870785,40.7007358,-73.8966268,cafe,AMA Coffee,,cafe;coffee_shop,cafe,coffee_shop,,,,,
,,1,node,6372594349,40.7876512,-73.947772,cafe,American Grind,,coffee_shop,coffee_shop,,,,,,
,,1,node,5618064691,40.7802595,-73.9635992,cafe,American Wing Café,,coffee_shop,coffee_shop,,,,,,
,,1,node,6839024569,40.6910101,-73.9959583,cafe,Amy's Bread,,coffee_shop;breakfast;sandwhich,coffee_shop,breakfast,sandwhich,,,,
,,1,node,5272653545,40.7328845,-73.9551752,cafe,Archestratus Books & Foods,,coffee_shop,coffee_shop,,,,,,
,,1,node,7258184197,40.7414369,-73.9744358,cafe,Argo Tea,,coffee_shop;breakfast,coffee_shop,breakfast,,,,,
,,1,node,2714805259,40.7506675,-73.973776,cafe,Aroma Espresso Bar,,coffee_shop,coffee_shop,,,,,,
,,1,node,5126272537,40.7130523,-74.0096369,cafe,Aroma Espresso Bar,,coffee_shop,coffee_shop,,,,,,
,,1,node,1967406009,40.8109307,-73.9428375,cafe,Astor Row Cafe,,coffee_shop,coffee_shop,,,,,,
,,1,node,2192591869,40.7126734,-73.9570081,cafe,Atlas Cafe,,coffee_shop,coffee_shop,,,,,,
,,1,node,2698768779,40.7460686,-73.9144118,cafe,Aubergine Cafe,,coffee_shop,coffee_shop,,,,,,
,,1,node,7795039234,40.6920093,-73.9850009,cafe,Ava Brew,,coffee_shop,coffee_shop,,,,,,
,,1,node,6473280860,40.7286956,-73.9787601,cafe,B Cup Café,,coffee_shop,coffee_shop,,,,,,
,,1,node,6402697500,40.6970422,-73.9336001,cafe,Baby Skips,,coffee_shop;american;breakfast;health_food,coffee_shop,american,breakfast,health_food,,,
,,1,node,5981998923,40.669662,-73.9868921,cafe,Bagel Pub,,bagel;coffee_shop;breakfast;sandwich,bagel,coffee_shop,breakfast,sandwich,,,
,,1,node,2689493100,40.7314891,-73.8595033,cafe,Bagelette,,coffee_shop,coffee_shop,,,,,,
,,1,node,3805991007,40.7139538,-73.9492206,cafe,Bagelsmith,,coffee_shop,coffee_shop,,,,,,
,,1,node,2567551910,40.7157788,-73.9965978,cafe,Bake Culture,,coffee_shop;pastry,coffee_shop,pastry,,,,,
