dbh,lat,lon,id,crown_spread,multistem,common,species,genus,genus_common,family,order
8,40.6621252291,-73.9671997001,1646,6,No,Japanese Holly,Ilex crenata,Ilex,,Aquifoliaceae,Aquifoliales
8,40.6621371286,-73.9671604831,1659,6,Yes,Japanese Holly,Ilex crenata,Ilex,,Aquifoliaceae,Aquifoliales
4,40.6695654285,-73.9680543588,11820,30,Yes,Japanese Holly,Ilex crenata,Ilex,,Aquifoliaceae,Aquifoliales
6,40.6604171883,-73.9732672363,15528,10,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
16,40.6596601655,-73.9730397775,15614,20,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
7,40.6601509451,-73.9732817348,15638,10,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
10,40.6596654938,-73.9724053682,15670,30,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
7,40.6601803435,-73.9723372335,15708,25,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
8,40.6601990947,-73.9723362828,15710,25,Yes,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
15,40.6602658058,-73.972384294,15712,30,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
11,40.6603096876,-73.972506503,15874,30,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
7,40.6603349296,-73.9722868874,15880,30,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
7,40.6601813138,-73.972189439,15890,30,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
7,40.6605163111,-73.972713759,15919,40,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
10,40.6605191959,-73.9727727034,15928,40,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
8,40.661763503,-73.9660527238,643,15,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
6,40.6605862529,-73.9636207673,1829,5,Yes,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
5,40.6605508847,-73.9637159294,1916,8,Yes,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
6,40.6544567546,-73.9726759117,4359,20,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
5,40.6535017271,-73.9725983121,4524,20,Yes,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
6,40.6532094005,-73.972399703,4825,10,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
4,40.6577240437,-73.9640225842,5100,4,Yes,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
2,40.6577459387,-73.9640606752,5110,4,Yes,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
8,40.6549122029,-73.9724447821,5560,20,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
7,40.6549302343,-73.9724614196,5569,20,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
3,40.6577438541,-73.9646350583,5644,5,Yes,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
3,40.6577519679,-73.9646029716,5650,5,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
